Year,"World population 
(Billions)","Global GHG emissions
(Billion t CO2e)","Global electricity
consumption (TWh)","Electricity footprint 
of ICT
(TWh)","ICT GHG Emissions 
(Mt CO2e)","Embodied carbon
(Mt CO2e)","Embodied carbon
emission of Network
(Mt CO2e)","Embodied carbon
emission of
Enterprise Network
(Mt CO2e)","Embodied carbon
emission of Data center
(Mt CO2e)","Embodied carbon
emission of ICT Devices
(Mt CO2e)","Footprint from use
(Mt CO2e)","Use stage carbon
emission of Network
(Mt CO2e)","Use stage carbon
emission of
Enterprise Network
(Mt CO2e)","Use stage carbon
emission of Data center
(Mt CO2e)","Use stage carbon
emission of ICT Devices
(Mt CO2e)","Network emission 
(Mt CO2e)","Enterprise network 
emission (Mt CO2e)","Enterprise Network
Electricity Usage 
(TWh)","WLAN Access 
Points
Installed base
(Millions)","Switches/Routers 
Ports
Installed base
(Millions)","Enterprise 
Small Cells
Installed base
(Millions)","WLAN Access 
Points
Shipments
(Millions)","Switches/Routers 
Ports
Shipments
(Millions)","Enterprise 
Small Cells
Shipments
(Millions)","Network
Electricity Usage 
(TWh)","Fixed Acess network
Subscriber Numbers
(Billions)","Mobile network
Subscriber number
(Billions)","Mobile Network's 
Electricity Usage
(TWh)","Mobile + 
Voice Traffic 
(ZettaBytes/year)","Fixed access wired
Electricity Usage
(TWh)","Fixed data 
traffic wired
(ZettaByte)","Fixed access Wi-Fi
Electricity Usage
(TWh)","Fixed data traffic 
in Wi-Fi 
(ZettaByte)","Data Center
Carbon footprint
(Mt CO2e)","Servers shipped/produced 
globally per year 
(In Millions)","Installed & active servers 
per year (Millions)","Data Center 
Electricity use 
(TWh)","Global Data Centre 
IP Traffic 
(ZettaBytes/year)","Computations 
(Zettabits)","ICT Devices
Carbon footprint
(Mt CO2e) ","Laptop shipments
worldwide (Millions)","Laptops worldwide 
installed base
(in millions)","Laptop
Energy demand
yearly TEC (kWh)","Emissions per 
laptop
(kg CO2 e/yr)","PC shipments
worldwide (Millions)","Desktop PCs worldwide 
installed base
(in millions)","Desktop PC
Energy demand
yearly TEC (kWh)","Emissions per 
PC
(kg CO2 e/yr)","Mobile Phone shipments 
Global (Millions)","Smartphones worldwide 
installed base
(in millions)","Smartphone
Energy demand
yearly TEC (kWh)","Emissions per 
Smartphone
(kg CO2 e/yr)","Tablets shipments 
Global (Millions)","Tablets worldwide 
installed base
(in millions)","Tablet
Energy demand
yearly TEC (kWh)","Emissions per 
Tablet
(kg CO2 e/yr)","ICT Devices total
Electricity Usage 
(TWh)","Devices power use
Electricity Usage
(TWh)","Devices used
in billions","Production of 
ICT hardware
Electricity use
(TWh)","Devices produced
in billions"
2000.00,6.15,40.77,13261.00,563.71,563.61,108.16,43.03,2.04,24.39,38.70,455.45,95.04,11.30,71.57,277.53,138.07,13.34,21.01,40.82,217.48,1.52,0.37,31.49,0.40,118.25,1.63,5.49,83.74,0.00,75.87,0.03,13.13,0.01,95.97,5.86,24.92,186.46,0.13,0.54,316.23,78.69,281.60,20.81,253.36,255.65,580.82,223.32,788.84,168.70,62.34,3.80,65.99,81.52,15.41,13.39,124.91,238.00,37.58,4.04,201.78,0.88
2001.00,6.23,40.61,13393.00,577.55,562.60,106.41,43.86,2.04,24.71,35.80,456.18,98.78,11.32,72.36,273.72,142.63,13.36,21.05,43.56,238.13,1.71,0.91,35.73,0.44,126.51,1.64,5.53,87.93,0.00,81.00,0.04,14.61,0.01,97.08,6.09,25.89,186.99,0.16,0.71,309.53,84.97,307.62,21.04,255.33,248.99,598.81,223.32,788.84,187.76,77.40,3.73,66.06,83.80,18.33,13.50,124.73,243.00,42.37,4.39,201.62,0.97
2002.00,6.31,41.55,13839.00,810.00,530.00,110.00,47.00,2.04,28.00,33.00,430.00,90.65,11.35,58.00,270.00,151.00,13.39,21.09,46.49,260.74,1.92,1.49,40.37,0.48,178.00,1.65,5.57,92.34,0.00,86.48,0.05,16.26,0.02,76.00,6.33,26.88,152.00,0.20,0.93,303.00,91.75,333.64,21.45,258.92,242.25,617.36,223.31,788.84,208.98,96.11,3.60,66.04,86.14,21.82,13.61,124.19,480.00,47.57,4.76,201.44,1.08
2003.00,6.39,43.61,14384.00,606.00,564.19,102.82,44.30,2.04,24.78,31.70,461.37,106.21,11.37,77.38,266.41,150.51,13.41,21.14,49.61,285.49,2.16,2.13,45.45,0.53,145.30,1.66,5.61,96.97,0.00,92.33,0.07,18.09,0.02,102.16,6.58,27.92,185.56,0.26,1.22,298.11,99.08,359.65,22.10,264.75,237.05,636.48,223.28,788.83,232.59,119.34,3.39,65.71,88.54,25.96,13.73,122.80,254.00,53.21,5.17,201.25,1.19
2004.00,6.48,44.33,15027.00,621.90,569.45,104.89,44.14,2.04,25.14,33.58,464.55,109.85,11.40,80.36,262.94,154.00,13.44,21.19,52.95,312.60,2.44,2.83,51.01,0.58,155.98,1.67,5.64,101.83,0.00,98.58,0.09,20.13,0.03,105.50,6.84,29.00,184.73,0.33,1.59,296.52,106.98,385.67,22.99,273.05,235.37,656.20,223.26,788.86,258.88,148.19,3.10,64.64,91.01,30.89,13.84,119.74,260.00,59.34,5.61,201.03,1.31
2005.00,6.56,44.95,15681.00,638.21,580.62,110.62,42.91,2.04,25.47,40.20,470.00,111.84,11.42,83.67,263.07,154.75,13.46,21.23,56.51,342.28,2.74,3.59,57.10,0.63,167.63,1.68,5.68,106.93,0.00,105.25,0.11,22.41,0.04,109.14,6.20,26.20,184.35,0.42,2.09,303.27,115.52,411.69,24.00,283.17,239.10,639.36,223.28,789.06,288.13,184.01,2.77,62.40,93.55,36.76,13.95,114.13,265.00,65.99,6.09,200.79,1.45
2006.00,6.64,46.47,16327.00,659.24,586.29,113.84,42.32,2.04,25.77,43.70,472.45,116.72,11.45,87.32,256.96,159.04,13.49,21.28,60.31,374.77,3.08,4.43,63.77,0.69,180.36,1.69,5.72,112.29,0.00,112.38,0.14,24.93,0.05,113.09,6.90,29.30,184.60,0.53,2.74,300.66,124.74,437.71,24.85,293.34,239.21,685.62,223.52,789.80,320.68,228.48,2.49,58.90,96.16,43.74,14.07,105.75,273.00,73.21,6.61,200.53,1.61
2007.00,6.73,46.78,17133.00,643.00,620.00,123.99,21.81,1.50,25.20,75.48,470.44,112.90,15.50,91.00,251.03,307.10,17.00,29.00,64.37,410.35,3.47,5.35,71.07,0.76,203.00,1.70,5.76,117.91,0.00,119.98,0.17,27.75,0.07,116.20,7.80,32.70,180.00,0.67,3.59,326.52,134.70,463.72,25.17,301.25,272.45,727.83,224.40,791.95,356.92,283.71,2.31,54.74,98.84,52.05,14.18,95.96,260.00,60.00,7.17,200.23,1.77
2008.00,6.81,47.58,17443.00,736.00,662.87,131.37,17.90,2.04,17.01,94.42,531.50,127.98,11.50,146.97,245.05,145.88,13.54,21.38,68.69,449.31,3.90,6.35,79.06,0.83,219.00,1.71,5.79,123.82,0.00,128.10,0.22,30.88,0.09,163.98,9.10,35.00,254.00,0.86,4.70,339.47,145.45,489.74,24.70,305.82,290.80,769.16,226.69,797.11,397.25,237.00,2.28,51.16,101.59,61.94,14.30,87.79,263.00,64.00,7.78,199.91,1.96
2009.00,6.90,47.49,17353.00,739.11,641.21,158.26,34.07,2.38,23.47,98.34,482.95,131.27,11.53,101.09,239.05,165.34,13.91,21.43,73.31,491.97,4.39,7.46,87.81,0.91,226.11,1.73,5.83,130.03,0.01,136.77,0.27,34.36,0.12,124.57,7.60,37.00,194.56,1.09,6.16,337.39,157.06,515.76,25.75,350.00,308.34,789.86,248.20,851.00,173.50,304.00,2.10,55.00,104.43,73.71,14.41,84.96,297.00,98.78,8.45,199.55,2.16
