Year,"Electricity footprint 
of ICT
(TWh)","Enterprise Network
Electricity Usage 
(TWh)","WLAN Access 
Points
Installed base
(Millions)","Switches/Routers 
Ports
Installed base
(Millions)","Enterprise 
Small Cells
Installed base
(Millions)","WLAN Access 
Points
Shipments
(Millions)","Switches/Routers 
Ports
Shipments
(Millions)","Enterprise 
Small Cells
Shipments
(Millions)","Network
Electricity Usage 
(TWh)","Fixed Acess network
Subscriber Numbers
(Billions)","Mobile network
Subscriber number
(Billions)","Mobile Network's 
Electricity Usage
(TWh)","Mobile + 
Voice Traffic 
(ZettaBytes/year)","Fixed access wired
Electricity Usage
(TWh)","Fixed data 
traffic wired
(ZettaByte)","Fixed access Wi-Fi
Electricity Usage
(TWh)","Fixed data traffic 
in Wi-Fi 
(ZettaByte)","Servers shipped/produced 
globally per year 
(In Millions)","Installed & active servers 
per year (Millions)","Data Center 
Electricity use 
(TWh)","Global Data Centre 
IP Traffic 
(ZettaBytes/year)","Computations 
(Zettabits)","Laptop shipments
worldwide (Millions)","Laptops worldwide 
installed base
(in millions)","Laptop
Energy demand
yearly TEC (kWh)","Emissions per 
laptop
(kg CO2 e/yr)","PC shipments
worldwide (Millions)","Desktop PCs worldwide 
installed base
(in millions)","Desktop PC
Energy demand
yearly TEC (kWh)","Emissions per 
PC
(kg CO2 e/yr)","Mobile Phone shipments 
Global (Millions)","Smartphones worldwide 
installed base
(in millions)","Smartphone
Energy demand
yearly TEC (kWh)","Emissions per 
Smartphone
(kg CO2 e/yr)","Tablets shipments 
Global (Millions)","Tablets worldwide 
installed base
(in millions)","Tablet
Energy demand
yearly TEC (kWh)","Emissions per 
Tablet
(kg CO2 e/yr)","ICT Devices total
Electricity Usage 
(TWh)","Devices power use
Electricity Usage
(TWh)","Devices used
in billions","Production of 
ICT hardware
Electricity use
(TWh)","Devices produced
in billions"
2000,563.71,21.01,40.82,217.48,1.52,0.37,31.49,0.40,118.25,1.63,5.49,83.74,0.00,75.87,0.03,13.13,0.01,5.86,24.92,186.46,0.13,0.54,78.69,281.60,20.81,253.36,255.65,580.82,223.32,788.84,168.70,62.34,3.80,65.99,81.52,15.41,13.39,124.91,238.00,37.58,4.04,201.78,0.88
2001,577.55,21.05,43.56,238.13,1.71,0.91,35.73,0.44,126.51,1.64,5.53,87.93,0.00,81.00,0.04,14.61,0.01,6.09,25.89,186.99,0.16,0.71,84.97,307.62,21.04,255.33,248.99,598.81,223.32,788.84,187.76,77.40,3.73,66.06,83.80,18.33,13.50,124.73,243.00,42.37,4.39,201.62,0.97
2002,810.00,21.09,46.49,260.74,1.92,1.49,40.37,0.48,178.00,1.65,5.57,92.34,0.00,86.48,0.05,16.26,0.02,6.33,26.88,152.00,0.20,0.93,91.75,333.64,21.45,258.92,242.25,617.36,223.31,788.84,208.98,96.11,3.60,66.04,86.14,21.82,13.61,124.19,480.00,47.57,4.76,201.44,1.08
2003,606.00,21.14,49.61,285.49,2.16,2.13,45.45,0.53,145.30,1.66,5.61,96.97,0.00,92.33,0.07,18.09,0.02,6.58,27.92,185.56,0.26,1.22,99.08,359.65,22.10,264.75,237.05,636.48,223.28,788.83,232.59,119.34,3.39,65.71,88.54,25.96,13.73,122.80,254.00,53.21,5.17,201.25,1.19
2004,621.90,21.19,52.95,312.60,2.44,2.83,51.01,0.58,155.98,1.67,5.64,101.83,0.00,98.58,0.09,20.13,0.03,6.84,29.00,184.73,0.33,1.59,106.98,385.67,22.99,273.05,235.37,656.20,223.26,788.86,258.88,148.19,3.10,64.64,91.01,30.89,13.84,119.74,260.00,59.34,5.61,201.03,1.31
2005,638.21,21.23,56.51,342.28,2.74,3.59,57.10,0.63,167.63,1.68,5.68,106.93,0.00,105.25,0.11,22.41,0.04,6.20,26.20,184.35,0.42,2.09,115.52,411.69,24.00,283.17,239.10,639.36,223.28,789.06,288.13,184.01,2.77,62.40,93.55,36.76,13.95,114.13,265.00,65.99,6.09,200.79,1.45
2006,659.24,21.28,60.31,374.77,3.08,4.43,63.77,0.69,180.36,1.69,5.72,112.29,0.00,112.38,0.14,24.93,0.05,6.90,29.30,184.60,0.53,2.74,124.74,437.71,24.85,293.34,239.21,685.62,223.52,789.80,320.68,228.48,2.49,58.90,96.16,43.74,14.07,105.75,273.00,73.21,6.61,200.53,1.61
2007,643.00,29.00,64.37,410.35,3.47,5.35,71.07,0.76,203.00,1.70,5.76,117.91,0.00,119.98,0.17,27.75,0.07,7.80,32.70,180.00,0.67,3.59,134.70,463.72,25.17,301.25,272.45,727.83,224.40,791.95,356.92,283.71,2.31,54.74,98.84,52.05,14.18,95.96,260.00,60.00,7.17,200.23,1.77
2008,736.00,21.38,68.69,449.31,3.90,6.35,79.06,0.83,219.00,1.71,5.79,123.82,0.00,128.10,0.22,30.88,0.09,9.10,35.00,254.00,0.86,4.70,145.45,489.74,24.70,305.82,290.80,769.16,226.69,797.11,397.25,237.00,2.28,51.16,101.59,61.94,14.30,87.79,263.00,64.00,7.78,199.91,1.96
2009,739.11,21.43,73.31,491.97,4.39,7.46,87.81,0.91,226.11,1.73,5.83,130.03,0.01,136.77,0.27,34.36,0.12,7.60,37.00,194.56,1.09,6.16,157.06,515.76,25.75,350.00,308.34,789.86,248.20,851.00,173.50,304.00,2.10,55.00,104.43,73.71,14.41,84.96,297.00,98.78,8.45,199.55,2.16
2010,652.19,21.49,78.24,538.68,4.94,8.66,97.38,0.99,185.00,1.74,4.97,204.00,0.02,162.00,0.33,42.00,0.12,8.90,39.00,196.70,1.40,8.07,169.59,541.77,20.28,330.00,350.90,812.47,262.80,887.00,304.70,431.00,2.59,45.00,19.00,87.71,14.53,91.00,249.00,108.79,9.17,141.00,2.82
2011,792.00,11.00,83.50,589.82,5.56,9.98,107.87,1.09,220.00,1.76,5.98,200.00,0.03,178.00,0.39,46.00,0.15,9.50,40.00,237.00,1.84,10.57,176.00,689.00,22.31,332.38,365.36,823.51,277.40,924.00,494.50,687.00,5.45,32.90,76.00,70.00,15.60,97.50,335.00,186.00,9.95,149.00,3.03
2012,909.00,21.60,89.12,645.82,6.26,11.42,119.34,1.19,334.00,1.77,6.01,197.00,0.03,196.00,0.47,51.00,0.20,9.70,41.00,268.00,2.66,13.86,195.78,593.81,14.19,340.00,351.06,837.17,233.60,814.00,725.30,1031.00,2.63,75.00,145.00,114.13,12.65,130.00,307.00,144.00,10.80,163.00,3.18
2013,1032.51,21.66,95.11,707.14,7.04,13.20,131.91,1.30,454.00,1.80,6.05,181.00,0.04,213.00,0.57,60.00,0.26,9.90,42.00,239.84,3.17,18.16,215.56,664.14,21.90,360.00,316.46,854.86,292.00,960.00,1018.70,1457.00,2.85,65.00,219.90,159.84,16.01,210.00,317.00,144.28,11.72,173.00,3.38
2014,1086.48,21.72,101.51,774.28,7.92,14.73,145.67,1.42,470.00,1.82,6.09,167.00,0.05,233.00,0.69,70.00,0.34,10.10,43.00,250.76,3.91,23.80,235.33,628.31,34.88,480.00,313.68,874.69,248.20,851.00,1301.70,1850.00,3.30,95.00,230.10,205.55,11.81,170.00,344.00,158.18,12.73,186.00,3.51
2015,810.00,21.79,108.33,847.79,8.91,14.39,142.94,1.40,247.00,1.85,7.10,152.00,0.08,256.00,0.84,82.00,0.44,11.10,45.00,220.00,4.80,31.18,255.11,589.23,18.25,480.00,287.68,896.05,321.20,1033.00,1437.20,2222.00,3.13,54.00,208.00,251.25,18.86,270.00,343.00,141.00,13.81,202.00,4.08
2016,1213.49,21.85,115.62,928.28,10.03,19.38,182.64,1.76,521.00,1.89,6.16,136.00,0.11,286.00,1.04,99.00,0.59,11.10,46.00,271.64,5.91,40.87,274.89,577.00,16.79,430.00,269.72,865.41,219.00,778.00,1473.40,2562.00,3.58,56.00,174.90,296.96,13.43,146.00,399.00,189.65,14.99,210.00,4.29
2017,1279.44,21.92,123.39,1016.41,11.28,22.05,203.88,1.95,551.00,1.93,6.20,120.00,0.15,316.00,1.28,115.00,0.76,11.50,47.00,279.52,7.27,53.55,294.67,621.00,22.10,302.00,262.68,779.15,262.80,887.00,1465.50,2890.00,3.33,79.00,163.80,342.67,16.00,152.00,427.00,207.43,16.27,220.00,4.52
2018,836.00,21.99,131.69,1112.91,12.69,25.01,227.40,2.16,362.00,2.58,6.24,122.00,0.25,173.00,5.00,67.00,5.00,11.80,48.00,211.00,9.00,83.00,314.44,796.10,17.98,176.00,259.76,566.52,204.40,741.00,1404.90,3353.11,4.84,92.00,146.20,388.38,27.00,102.00,474.00,245.29,19.00,229.00,5.00
2019,998.07,22.07,140.54,1218.57,14.28,25.00,235.31,2.23,368.00,2.65,6.27,127.00,0.44,172.00,5.00,69.00,6.00,11.80,49.00,208.00,11.00,102.00,334.22,781.00,16.78,176.00,262.55,552.00,219.00,778.00,1372.60,4402.00,7.00,96.00,144.10,424.00,13.79,158.00,400.00,259.18,20.00,241.00,5.50
2020,859.00,25.00,150.00,1300.00,10.00,30.00,250.00,2.46,379.00,2.77,6.30,136.00,0.77,171.00,5.50,72.00,7.00,12.20,50.00,207.00,13.00,127.00,354.00,796.00,20.59,200.00,309.08,522.00,87.60,449.00,1281.20,4287.00,8.00,85.00,149.60,479.00,14.26,178.00,522.00,273.06,21.00,249.00,6.00
2021,1093.24,22.24,160.00,1500.00,18.85,31.83,292.25,2.64,354.00,2.89,6.33,108.00,0.94,171.00,6.00,75.00,8.00,12.99,50.75,202.00,16.00,155.00,383.40,866.00,17.70,349.00,341.73,495.00,189.80,704.00,1354.80,4328.00,8.00,81.00,171.00,535.00,13.39,131.00,515.00,286.95,22.00,229.00,6.50
2022,1213.32,22.32,171.00,1579.88,21.32,35.29,309.17,2.89,427.00,3.06,6.36,130.00,2.00,204.00,7.00,93.00,9.00,13.61,51.58,239.00,20.00,193.00,418.93,929.00,22.26,147.00,284.05,470.00,277.40,924.00,1205.50,4452.00,7.00,80.00,161.61,571.00,13.79,156.00,525.00,314.72,24.00,211.00,7.00
2023,1373.44,22.44,182.50,1883.20,27.08,43.36,373.31,3.47,526.00,3.23,6.39,168.00,3.00,244.00,8.00,114.00,10.00,13.81,52.51,287.00,26.00,244.00,459.31,595.64,26.97,139.00,241.89,679.89,175.20,668.00,1166.90,4259.94,8.00,87.00,142.30,619.45,15.33,125.00,538.00,342.49,26.00,196.00,7.50
2024,1581.52,22.52,194.50,1996.61,29.23,46.38,397.30,3.68,656.00,3.50,6.42,223.00,5.00,292.00,10.00,141.00,11.00,14.42,53.21,347.00,33.00,311.00,502.63,781.68,16.63,170.00,334.97,678.39,219.20,777.55,918.83,4485.62,6.28,83.27,142.70,671.07,19.44,107.00,556.00,370.26,28.00,186.00,8.00
2025,1857.60,22.60,207.50,2065.19,30.53,48.20,411.80,3.81,831.00,3.77,6.45,306.00,9.00,351.00,12.00,174.00,12.00,15.08,53.90,429.00,43.00,404.00,546.52,892.41,20.27,255.40,303.71,676.90,218.29,775.22,773.72,4711.29,6.46,84.49,143.40,722.81,16.85,155.58,575.00,398.03,30.00,177.00,9.00
2026,2145.70,22.70,221.50,2107.39,38.30,49.33,420.73,3.89,988.00,4.04,6.48,350.00,17.00,423.00,14.00,215.00,13.00,15.84,54.65,540.00,57.00,535.00,588.70,771.21,20.16,252.74,280.41,675.40,217.39,772.89,679.53,4936.97,6.63,85.70,143.60,777.06,16.99,157.31,595.00,425.80,32.00,170.00,10.00
2027,2567.82,22.82,236.50,2416.69,38.22,64.43,486.14,4.58,1212.00,4.31,6.52,434.00,30.00,512.00,16.00,266.00,14.00,16.62,55.27,702.00,78.00,733.00,627.70,863.38,20.05,250.08,298.46,673.90,216.48,770.55,604.48,5162.64,6.80,86.92,135.90,833.46,17.13,159.03,631.00,467.45,35.00,164.00,12.50
2028,3171.98,22.98,252.50,2973.56,43.66,66.60,603.91,5.12,1532.00,4.64,6.55,584.00,54.00,620.00,18.00,328.00,16.00,16.74,55.88,946.00,110.00,1039.00,663.80,1249.00,19.94,247.41,301.75,672.41,215.57,768.22,543.83,5388.31,6.97,88.14,135.80,892.25,17.27,160.76,671.00,509.11,38.00,162.00,16.00
2029,4130.10,23.10,269.50,3119.22,49.74,75.16,634.72,5.73,2003.00,5.08,6.58,846.00,97.00,752.00,21.00,405.00,18.00,17.39,56.48,1324.00,162.00,1531.00,704.03,1184.26,19.83,244.75,288.75,670.91,214.66,765.89,526.60,5613.99,7.14,89.35,158.02,953.67,17.42,162.49,780.00,620.19,46.00,160.00,20.00
2030,5557.22,23.22,287.50,3319.47,54.56,81.66,677.07,6.21,2716.00,5.74,6.61,1300.00,174.00,915.00,25.00,501.00,22.00,17.99,57.03,1929.00,249.00,2347.00,753.70,692.91,19.72,242.09,297.46,669.42,213.76,763.55,513.79,5839.66,7.32,90.57,158.97,1017.31,17.56,164.21,889.00,731.27,54.00,158.00,27.00
2031,3156.94,23.30,307.00,3307.27,55.56,89.56,674.49,6.31,1339.59,4.76,6.73,519.38,47.36,534.76,15.63,276.26,14.97,18.71,57.57,801.06,93.76,884.20,816.53,701.44,19.61,239.43,304.33,667.92,212.85,761.22,512.10,6065.33,7.49,91.79,156.11,1083.41,17.70,165.94,993.00,820.71,65.86,173.20,36.58
2032,3340.45,23.44,327.50,3655.60,58.52,91.00,748.16,6.61,1388.92,4.73,6.77,537.24,49.52,552.30,16.29,286.85,15.60,19.19,58.08,828.08,97.88,923.28,893.34,1071.41,19.50,236.76,286.84,666.43,211.94,758.89,517.52,6291.01,7.66,93.00,153.92,1152.13,17.84,167.67,1100.00,910.03,78.60,190.08,50.79
2033,3493.01,23.64,349.50,4226.70,67.33,106.20,868.93,7.49,1438.26,4.64,6.81,555.09,51.69,569.85,16.94,297.45,16.22,19.80,58.55,855.11,102.00,962.35,981.39,814.21,19.39,234.10,281.33,664.93,211.03,756.55,540.86,6516.68,7.83,94.22,154.36,1223.48,17.99,169.39,1176.00,972.35,97.23,204.97,72.54
2034,3676.62,23.89,373.00,5002.01,83.34,132.10,1032.90,9.09,1487.60,4.50,6.85,572.95,53.85,587.39,17.60,308.05,16.85,20.53,59.02,882.13,106.12,1001.43,1074.70,395.81,19.28,231.44,299.63,663.43,210.13,754.22,571.29,6742.36,8.00,95.43,153.90,1297.55,18.13,171.12,1283.00,1066.23,121.30,217.48,103.82
