Year,"World population 
(Billions)","Global GHG emissions
(Billion t CO2e)","Global electricity
consumption (TWh)","Electricity footprint 
of ICT
(TWh)","ICT GHG Emissions 
(Mt CO2e)","Embodied carbon
(Mt CO2e)","Embodied carbon
emission of Network
(Mt CO2e)","Embodied carbon
emission of
Enterprise Network
(Mt CO2e)","Embodied carbon
emission of Data center
(Mt CO2e)","Embodied carbon
emission of ICT Devices
(Mt CO2e)","Footprint from use
(Mt CO2e)","Use stage carbon
emission of Network
(Mt CO2e)","Use stage carbon
emission of
Enterprise Network
(Mt CO2e)","Use stage carbon
emission of Data center
(Mt CO2e)","Use stage carbon
emission of ICT Devices
(Mt CO2e)","Network emission 
(Mt CO2e)","Enterprise network 
emission (Mt CO2e)","Enterprise Network
Electricity Usage 
(TWh)","WLAN Access 
Points
Installed base
(Millions)","Switches/Routers 
Ports
Installed base
(Millions)","Enterprise 
Small Cells
Installed base
(Millions)","WLAN Access 
Points
Shipments
(Millions)","Switches/Routers 
Ports
Shipments
(Millions)","Enterprise 
Small Cells
Shipments
(Millions)","Network
Electricity Usage 
(TWh)","Fixed Acess network
Subscriber Numbers
(Billions)","Mobile network
Subscriber number
(Billions)","Mobile Network's 
Electricity Usage
(TWh)","Mobile + 
Voice Traffic 
(ZettaBytes/year)","Fixed access wired
Electricity Usage
(TWh)","Fixed data 
traffic wired
(ZettaByte)","Fixed access Wi-Fi
Electricity Usage
(TWh)","Fixed data traffic 
in Wi-Fi 
(ZettaByte)","Data Center
Carbon footprint
(Mt CO2e)","Servers shipped/produced 
globally per year 
(In Millions)","Installed & active servers 
per year (Millions)","Data Center 
Electricity use 
(TWh)","Global Data Centre 
IP Traffic 
(ZettaBytes/year)","Computations 
(Zettabits)","ICT Devices
Carbon footprint
(Mt CO2e) ","Laptop shipments
worldwide (Millions)","Laptops worldwide 
installed base
(in millions)","Laptop
Energy demand
yearly TEC (kWh)","Emissions per 
laptop
(kg CO2 e/yr)","PC shipments
worldwide (Millions)","Desktop PCs worldwide 
installed base
(in millions)","Desktop PC
Energy demand
yearly TEC (kWh)","Emissions per 
PC
(kg CO2 e/yr)","Mobile Phone shipments 
Global (Millions)","Smartphones worldwide 
installed base
(in millions)","Smartphone
Energy demand
yearly TEC (kWh)","Emissions per 
Smartphone
(kg CO2 e/yr)","Tablets shipments 
Global (Millions)","Tablets worldwide 
installed base
(in millions)","Tablet
Energy demand
yearly TEC (kWh)","Emissions per 
Tablet
(kg CO2 e/yr)","ICT Devices total
Electricity Usage 
(TWh)","Devices power use
Electricity Usage
(TWh)","Devices used
in billions","Production of 
ICT hardware
Electricity use
(TWh)","Devices produced
in billions"
2000,6.15,40.77,13261,587.3556207,557.0727671,114.615323,48.97315727,2.04,24.90344,38.6987257,442.4574441,82.62068175,11.3010428,71.063089,277.4726305,131.593839,13.3410428,21.00565577,40.81543,217.480809,1.519566,0.37224067,31.48745697,0.400953,141.894855,1.77161196,5.494436,83.737788,0.000087,75.86595155,0.034073,13.129959,0.009618,95.966529,5.863487,24.923973,186.45511,0.126437,0.540284,316.1713562,78.69004,281.603925,20.814829,253.357227,255.651535,580.815999,223.320438,788.844221,168.701005,62.336475,3.801154,65.989935,81.52364,15.405794,13.393554,124.913728,238,37.5785407,4.040328,201.7824134,0.882431
2001,6.23,40.61,13393,599.2775028,554.0266667,111.0661505,48.02183805,2.04,25.20011,35.80420243,442.9605162,86.07175932,11.32458072,71.875674,273.6885022,134.0935974,13.36458072,21.04940654,43.559894,238.12884,1.709758,0.90541219,35.72687364,0.438954,148.2371723,1.7733771,5.531093,87.933796,0.000139,81.00006496,0.042968,14.611116,0.012756,97.075784,6.092991,25.885307,186.990924,0.160562,0.708017,309.4927046,84.970648,307.620789,21.043567,255.325767,248.985903,598.8077,223.316241,788.841729,187.763344,77.403497,3.732807,66.055624,83.797643,18.332516,13.503349,124.731828,243,42.36975564,4.385392,201.6214476,0.974952
2002,6.31,41.55,13839,810,530,110,47,2.04,28,33,430,90.65,11.34855301,58,270,151,13.38855301,21.0939647,46.488898,260.737233,1.923755,1.48909336,40.3679087,0.480555,178,1.77514223,5.567994,92.340063,0.000222,86.48162172,0.054185,16.259358,0.016919,76,6.331478,26.883721,152,0.203897,0.927822,303,91.752541,333.637654,21.453617,258.920899,242.246054,617.356722,223.305475,788.836398,208.979629,96.112291,3.60185,66.040707,86.135077,21.815243,13.614044,124.189902,480,47.57014775,4.759925,201.4436044,1.077174
2003,6.39,43.61,14384,623.6667391,554.5443058,104.7357049,45.77868775,2.04,25.217948,31.69906914,449.8086009,95.04170908,11.37299518,76.937541,266.4563557,140.8203968,13.41299518,21.13939625,49.61485,285.492109,2.164537,2.12811067,45.448939,0.5261,162.9657579,1.77690737,5.605142,96.967122,0.000353,92.33413453,0.068329,18.093534,0.02244,102.155489,6.5793,27.920645,185.561585,0.258927,1.215866,298.1554248,99.075728,359.654519,22.10245,264.751605,237.054429,636.48033,223.283886,788.832347,232.593244,119.343088,3.388189,65.707053,88.537711,25.959602,13.725646,122.79576,254,53.21469336,5.166446,201.2471159,1.190113
2004,6.48,44.33,15027,637.4192819,559.735274,105.8082437,44.63092653,2.04,25.56207,33.57524718,453.9270303,99.56697567,11.39794579,79.933015,263.0290939,144.1979022,13.43794579,21.18577285,52.950994,312.597259,2.435455,2.82768345,51.01146511,0.575961,171.5000731,1.77889314,5.642537,101.826039,0.000562,98.58270728,0.086166,20.134618,0.029763,105.495085,6.836821,28.997563,184.733436,0.328811,1.593334,296.604341,106.983411,385.671383,22.991082,273.046619,235.370401,656.196322,223.257446,788.862496,258.875075,148.18888,3.096927,64.641446,91.007363,30.891288,13.838163,119.737517,260,59.34129853,5.607685,201.0300251,1.314894
2005,6.56,44.95,15681,651.5077303,573.8774421,111.6136422,43.49274984,2.04,25.884941,40.19595133,462.2638,104.1498442,11.42344673,83.257446,263.433063,147.642594,13.46344673,21.23317237,56.511464,342.275822,2.740282,3.59356417,57.10122691,0.630548,180.9266839,1.78065828,5.680182,106.92843,0.000895,105.2541427,0.108659,22.405952,0.039475,109.142387,6.2,26.2,184.347874,0.417556,2.087987,303.6290144,115.522242,411.688248,23.99973,283.165768,239.097541,639.355,223.277547,789.057822,288.126617,184.006836,2.77219,62.40234,93.545903,36.759873,13.951602,114.126165,265,65.99116007,6.086609,200.7901745,1.452757
2006,6.64,46.47,16327,670.2218988,579.008513,114.1866753,42.25903216,2.04,26.184084,43.70355909,464.8218377,109.2598709,11.44954352,86.904716,257.2077073,151.518903,13.48954352,21.2816794,60.311342,374.772122,3.083261,4.43202447,63.76809201,0.690308,191.3413414,1.78242341,5.718079,112.286497,0.001424,112.3770575,0.137024,24.93351,0.052357,113.0888,6.9,29.3,184.598878,0.530252,2.736206,300.9112664,124.742596,437.705113,24.849015,293.338207,239.21,685.619,223.518911,789.798737,320.683432,228.482164,2.485894,58.896718,96.155253,43.743345,14.065971,105.745522,273,73.20894603,6.606435,200.5251737,1.605076
2007,6.73,46.78,17133,643,620,143.6146238,41.03797072,1.5,25.59249,75.48416312,471.5147306,114.2081394,15.5,90.60751,251.1990811,307.1,17,29,64.366728,410.353681,3.469169,5.3499533,71.06683669,0.755732,203,1.78440919,5.756228,117.91305,0.002268,119.9820047,0.172793,27.746194,0.069442,116.2,7.8,32.7,180,0.673365,3.585667,326.5167911,134.698868,463.721977,25.166719,301.251707,272.45,727.826,224.399458,791.954387,356.918998,283.707389,2.306947,54.740072,98.837387,52.053504,14.181278,95.95671,260,60,7.170656,200.2323887,1.773365
2008,6.81,47.58,17443,736,676.2269222,154.1519389,39.8041581,2.04,17.887658,94.42012282,522.0749833,119.3101749,11.5037269,146.090874,245.1702075,159.114333,13.5437269,21.382392,68.694801,449.31342,3.903377,6.35487098,79.05725747,0.827356,219,1.78617433,5.794631,123.821544,0.003612,128.1016052,0.2179,30.876171,0.092103,163.978532,9.1,35,254,0.855103,4.698844,339.5903303,145.449795,489.738842,24.699925,305.823796,290.8,769.155,226.68543,797.108967,397.248995,237,2.277172,51.159705,101.594337,61.94239,14.29753,87.787094,263,64,7.783065,199.9089071,1.959298
2009,6.9,47.49,17353,742.6272673,638.6269201,163.1569448,38.56365245,2.38,23.872507,98.34078533,475.4699753,124.0254493,11.53192584,100.695112,239.2174882,162.5891017,13.91192584,21.43480639,73.313897,491.972068,4.391932,7.45504145,87.80506358,0.905769,229.6350819,1.7881601,5.833291,130.026106,0.005751,136.7706874,0.274781,34.359231,0.122158,124.567619,7.6,37,194.557379,1.085892,6.157608,337.5582736,157.058803,515.755707,25.75,350,308.34,789.861,248.2,851,173.5,304,2.1,55,104.428188,73.70992,14.414735,84.956278,297,98.77597273,8.447776,199.5515086,2.164726
